model,configuration,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_f1_mean,cv_f1_std,selected_configuration
dummy_prior,strategy=prior,0.5,0.0,0.0,0.0,True
logistic_regression,C=0.1,0.5027777777777777,0.16768209191985076,0.4941269841269841,0.1976101865802014,False
logistic_regression,C=1,0.5833333333333333,0.1687371394276382,0.5485714285714285,0.2180754825737484,False
logistic_regression,C=10,0.6277777777777778,0.1606314699422329,0.5715873015873016,0.2246547139251436,True
decision_tree,max_depth=1,0.45555555555555555,0.14630215646959657,0.4134920634920636,0.16319668184889755,False
decision_tree,max_depth=2,0.4666666666666667,0.19555239896442267,0.4596825396825396,0.19247456991900955,False
decision_tree,max_depth=3,0.48055555555555546,0.18933770208835526,0.485079365079365,0.18312906919403873,False
decision_tree,max_depth=None,0.48055555555555546,0.18933770208835526,0.485079365079365,0.18312906919403873,True
random_forest,max_depth=2,0.41111111111111115,0.14896764086435468,0.3779365079365079,0.1725480788249259,False
random_forest,max_depth=3,0.4305555555555555,0.169193803698234,0.3895238095238095,0.18872969148352856,False
random_forest,max_depth=None,0.4305555555555555,0.169193803698234,0.3895238095238095,0.18872969148352856,True
hist_gradient_boosting,learning_rate=0.03,0.44444444444444436,0.14487116456005888,0.4143915343915344,0.16053860452555924,False
hist_gradient_boosting,learning_rate=0.1,0.4916666666666666,0.14766704288891125,0.4566137566137566,0.12603869833644774,True
