model,feature,permutation_importance_mean,permutation_importance_std
decision_tree,score_median,0.3625,0.15991534218662906
decision_tree,normalized_score_entropy,0.02916666666666672,0.10582020916000248
decision_tree,score_max,0.014166666666666706,0.12236386993989147
decision_tree,score_min,0.0,0.0
decision_tree,score_mean,0.0,0.0
decision_tree,score_stddev,0.0,0.0
decision_tree,score_range,0.0,0.0
decision_tree,score_coefficient_variation,0.0,0.0
decision_tree,rank1_rank2_gap,0.0,0.0
decision_tree,rank1_rankk_decay,0.0,0.0
decision_tree,score_entropy,0.0,0.0
decision_tree,near_top_passage_count,0.0,0.0
decision_tree,unique_document_count,0.0,0.0
decision_tree,source_diversity_ratio,0.0,0.0
decision_tree,duplicate_context_ratio,0.0,0.0
decision_tree,context_character_count,0.0,0.0
decision_tree,context_token_count,0.0,0.0
decision_tree,query_character_count,0.0,0.0
decision_tree,query_token_count,0.0,0.0
decision_tree,lexical_overlap,0.0,0.0
decision_tree,mean_pairwise_context_diversity,0.0,0.0
decision_tree,bm25_dense_score_correlation,0.0,0.0
